title,combined_text,release_year,voting
Death Race,"Action Thriller ScienceFictioncarrace dystopia matteroflifeanddeath prisonguard carsetonfire escapefromprison explodingbuilding vehiclecombat carcrash violenceT e r m i n a l   I s l a n d ,   N e w   Y o r k :   2 0 2 0 .   O v e r c r o w d i n g   i n   t h e   U S   p e n a l   s y s t e m   h a s   r e a c h e d   a   b r e a k i n g   p o i n t .   P r i s o n s   h a v e   b e e n   t u r n e d   o v e r   t o   a   m o n o l i t h i c   W e y l a n d   C o r p o r a t i o n ,   w h i c h   s e e s   j a i l s   f u l l   o f   t h u g s   a s   a n   o p p o r t u n i t y   f o r   t e l e v i s e d   s p o r t .   A d r e n a l i z e d   i n m a t e s ,   a   g l o b a l   a u d i e n c e   h u n g r y   f o r   v i o l e n c e   a n d   a   s p e c t a c u l a r ,   e n c l o s e d   a r e n a   c o m e   t o g e t h e r   t o   f o r m   t h e   ' D e a t h   R a c e ' ,   t h e   b i g g e s t ,   m o s t   b r u t a l   e v e n t . 2008",2008,6.0
Fight Club,"Dramasupportgroup dualidentity nihilism rageandhate insomnia dystopia violenceA   t i c k i n g - t i m e - b o m b   i n s o m n i a c   a n d   a   s l i p p e r y   s o a p   s a l e s m a n   c h a n n e l   p r i m a l   m a l e   a g g r e s s i o n   i n t o   a   s h o c k i n g   n e w   f o r m   o f   t h e r a p y .   T h e i r   c o n c e p t   c a t c h e s   o n ,   w i t h   u n d e r g r o u n d   "" f i g h t   c l u b s ""   f o r m i n g   i n   e v e r y   t o w n ,   u n t i l   a n   e c c e n t r i c   g e t s   i n   t h e   w a y   a n d   i g n i t e s   a n   o u t - o f - c o n t r o l   s p i r a l   t o w a r d   o b l i v i o n . 1999",1999,8.3
"I, Frankenstein","Horror Thrillersoul queen antihero fantasy prince supernatural frankenstein goodvsevil gargoyles fighting demon dark imax 3d2 0 0   y e a r s   a f t e r   h i s   s h o c k i n g   c r e a t i o n ,   D r .   F r a n k e n s t e i n ' s   c r e a t u r e ,   A d a m ,   s t i l l   w a l k s   t h e   e a r t h .   B u t   w h e n   h e   f i n d s   h i m s e l f   i n   t h e   m i d d l e   o f   a   w a r   o v e r   t h e   f a t e   o f   h u m a n i t y ,   A d a m   d i s c o v e r s   h e   h o l d s   t h e   k e y   t h a t   c o u l d   d e s t r o y   h u m a n k i n d . 2014",2014,5.0
Elektra,"Action Fantasymartialarts basedoncomicbook femaleassassin spinoffE l e k t r a   t h e   w a r r i o r   s u r v i v e s   a   n e a r - d e a t h   e x p e r i e n c e ,   b e c o m e s   a n   a s s a s s i n - f o r - h i r e ,   a n d   t r i e s   t o   p r o t e c t   h e r   t w o   l a t e s t   t a r g e t s ,   a   s i n g l e   f a t h e r   a n d   h i s   y o u n g   d a u g h t e r ,   f r o m   a   g r o u p   o f   s u p e r n a t u r a l   a s s a s s i n s . 2005",2005,4.8
Sin City: A Dame to Kill For,Crime Thrillerdetective dystopia dominatrix murder suspense twins basedongraphicnovel darkhorsecomics neo-noir 3dS o m e   o f   S i n   C i t y ' s   m o s t   h a r d - b o i l e d   c i t i z e n s   c r o s s   p a t h s   w i t h   a   f e w   o f   i t s   m o r e   r e v i l e d   i n h a b i t a n t s . 2014,2014,6.3
Everest,"Adventure Dramamountains snowstorm hiking climbing snow death blizzard mountainclimbing basedontrueevents mounteverest 3dI n s p i r e d   b y   t h e   i n c r e d i b l e   e v e n t s   s u r r o u n d i n g   a   t r e a c h e r o u s   a t t e m p t   t o   r e a c h   t h e   s u m m i t   o f   t h e   w o r l d ' s   h i g h e s t   m o u n t a i n ,   "" E v e r e s t ""   d o c u m e n t s   t h e   a w e - i n s p i r i n g   j o u r n e y   o f   t w o   d i f f e r e n t   e x p e d i t i o n s   c h a l l e n g e d   b e y o n d   t h e i r   l i m i t s   b y   o n e   o f   t h e   f i e r c e s t   s n o w s t o r m s   e v e r   e n c o u n t e r e d   b y   m a n k i n d .   T h e i r   m e t t l e   t e s t e d   b y   t h e   h a r s h e s t   o f   e l e m e n t s   f o u n d   o n   t h e   p l a n e t ,   t h e   c l i m b e r s   w i l l   f a c e   n e a r l y   i m p o s s i b l e   o b s t a c l e s   a s   a   l i f e l o n g   o b s e s s i o n   b e c o m e s   a   b r e a t h t a k i n g   s t r u g g l e   f o r   s u r v i v a l . 2015",2015,6.7
Perfume: The Story of a Murderer,"Crime Fantasy Dramaparis femalenudity prostitute smalltown obsession orgy badsmell nudity lonewolf lavender nose childprodigy fishmarket daughter supernatural genius children'shome death perfumeJ e a n - B a p t i s t e   G r e n o u i l l e ,   b o r n   i n   t h e   s t e n c h   o f   1 8 t h   c e n t u r y   P a r i s ,   d e v e l o p s   a   s u p e r i o r   o l f a c t o r y   s e n s e ,   w h i c h   h e   u s e s   t o   c r e a t e   t h e   w o r l d ' s   f i n e s t   p e r f u m e s .   H o w e v e r ,   h i s   w o r k   t a k e s   a   d a r k   t u r n   a s   h e   t r i e s   t o   p r e s e r v e   s c e n t s   i n   t h e   s e a r c h   f o r   t h e   u l t i m a t e   p e r f u m e . 2006",2006,7.1
Austin Powers in Goldmember,"Comedy Crime ScienceFictionsavingtheworld submarine brotherbrotherrelationship clone spy helicopter gold submachinegun asteroid undercover belgium dutch carjourney nightclub laser sumoringer familyhistory auto clowning overweightman conciliation jamesbondspoof duringcreditsstingerT h e   w o r l d ' s   m o s t   s h a g a d e l i c   s p y   c o n t i n u e s   h i s   f i g h t   a g a i n s t   D r .   E v i l .   T h i s   t i m e ,   t h e   d i a b o l i c a l   d o c t o r   a n d   h i s   c l o n e ,   M i n i - M e ,   t e a m   u p   w i t h   a   n e w   f o e   - -   ' 7 0 s   k i n g p i n   G o l d m e m b e r .   W h i l e   p u r s u i n g   t h e   t e a m   o f   v i l l a i n s   t o   s t o p   t h e m   f r o m   w o r l d   d o m i n a t i o n ,   A u s t i n   g e t s   h e l p   f r o m   h i s   d a d   a n d   a n   o l d   g i r l f r i e n d . 2002",2002,5.9
Astro Boy,"Animation Action Family ScienceFictionsuperheroS e t   i n   f u t u r i s t i c   M e t r o   C i t y ,   A s t r o   B o y   i s   a b o u t   a   y o u n g   r o b o t   w i t h   i n c r e d i b l e   p o w e r s   c r e a t e d   b y   a   b r i l l i a n t   s c i e n t i s t   i n   t h e   i m a g e   o f   t h e   s o n   h e   h a s   l o s t .   U n a b l e   t o   f u l f i l l   t h e   g r i e v i n g   m a n ' s   e x p e c t a t i o n s ,   o u r   h e r o   e m b a r k s   o n   a   j o u r n e y   i n   s e a r c h   o f   a c c e p t a n c e ,   e x p e r i e n c i n g   b e t r a y a l   a n d   a   n e t h e r w o r l d   o f   r o b o t   g l a d i a t o r s ,   b e f o r e   h e   r e t u r n s   t o   s a v e   M e t r o   C i t y   a n d   r e c o n c i l e   w i t h   t h e   f a t h e r   w h o   h a d   r e j e c t e d   h i m . 2009",2009,6.1
Jurassic Park,"Adventure ScienceFictionexoticisland dna paleontology tyrannosaurusrex triceratops brontosaurus electricfence island dinosaur amusementpark themepark jurassicparkA   w e a l t h y   e n t r e p r e n e u r   s e c r e t l y   c r e a t e s   a   t h e m e   p a r k   f e a t u r i n g   l i v i n g   d i n o s a u r s   d r a w n   f r o m   p r e h i s t o r i c   D N A .   B e f o r e   o p e n i n g   d a y ,   h e   i n v i t e s   a   t e a m   o f   e x p e r t s   a n d   h i s   t w o   e a g e r   g r a n d c h i l d r e n   t o   e x p e r i e n c e   t h e   p a r k   a n d   h e l p   c a l m   a n x i o u s   i n v e s t o r s .   H o w e v e r ,   t h e   p a r k   i s   a n y t h i n g   b u t   a m u s i n g   a s   t h e   s e c u r i t y   s y s t e m s   g o   o f f - l i n e   a n d   t h e   d i n o s a u r s   e s c a p e . 1993",1993,7.6
Little Man,"Comedy Crimebaby adoption marriedcouple smallperson criminalA f t e r   l e a v i n g   t h e   p r i s o n ,   t h e   d w a r f   c r i m i n a l   C a l v i n   S i m s   j o i n s   t o   h i s   m o r o n   b r o t h e r   P e r c y   t o   s t e a l   a n   e x p e n s i v e   h u g e   d i a m o n d   i n   a   j e w e l r y   f o r   t h e   m o b s t e r   W a l k e n .   T h e y   a r e   c h a s e d   b y   t h e   p o l i c e ,   a n d   C a l v i n   h i d e s   t h e   s t o n e   i n   t h e   p u r s e   o f   t h e   e x e c u t i v e   V a n e s s a   E d w a r d s ,   w h o s e   h u s b a n d   D a r r y l   E d w a r d s   w a n t s   t o   h a v e   a   b a b y .   P e r c y   c o n v i n c e s   C a l v i n   t o   d r e s s   l i k e   a   b a b y   a n d   b e   l e f t   i n   f r o n t   o f   t h e   E d w a r d s ' s   h o u s e   t o   g e t   i n s i d e   t h e   h o u s e   a n d   r e t r i e v e   t h e   d i a m o n d .   D a r r y l   a n d   V a n e s s a   k e e p   C a l v i n   f o r   t h e   w e e k e n d   a n d   d e c i d e   t o   a d o p t   h i m ,   w h i l e   W a l k e n   t h r e a t e n s   D a r r y l   t o   g e t   t h e   s t o n e   b a c k . 2006",2006,5.3
U-571,"Action Drama Thriller Warsubmarine worldwarii northatlantic missionI n   t h e   m i d s t   o f   W o r l d   W a r   I I ,   t h e   b a t t l e   u n d e r   t h e   s e a   r a g e s   a n d   t h e   N a z i s   h a v e   t h e   u p p e r   h a n d   a s   t h e   A l l i e s   a r e   u n a b l e   t o   c r a c k   t h e i r   w a r   c o d e s .   H o w e v e r ,   a f t e r   a   w r e c k e d   U - b o a t   s e n d s   o u t   a n   S O S   s i g n a l ,   t h e   A l l i e s   r e a l i s e   t h i s   i s   t h e i r   c h a n c e   t o   s e i z e   t h e   ' e n i g m a   c o d i n g   m a c h i n e ' . 2000",2000,6.1
The Love Guru,"Comedy Romancesport icehockey guru comedy bollywood india spiritualist brokenheart self-help stanleycup chastity ashram expertB o r n   i n   A m e r i c a   a n d   r a i s e d   i n   a n   I n d i a n   a s h r a m ,   P i t k a   r e t u r n s   t o   h i s   n a t i v e   l a n d   t o   s e e k   h i s   f o r t u n e   a s   a   s p i r i t u a l i s t   a n d   s e l f - h e l p   e x p e r t .   H i s   s k i l l s   a r e   p u t   t o   t h e   t e s t   w h e n   h e   m u s t   g e t   a   b r o k e n h e a r t e d   h o c k e y   p l a y e r ' s   m a r r i a g e   b a c k   o n   t r a c k   i n   t i m e   f o r   t h e   m a n   t o   h e l p   h i s   t e a m   w i n   t h e   S t a n l e y   C u p . 2008",2008,4.3
The Hateful Eight,Crime Drama Mystery Westernbountyhunter wyoming mountains narration hangman stagecoach blizzard postcivilwarB o u n t y   h u n t e r s   s e e k   s h e l t e r   f r o m   a   r a g i n g   b l i z z a r d   a n d   g e t   c a u g h t   u p   i n   a   p l o t   o f   b e t r a y a l   a n d   d e c e p t i o n . 2015,2015,7.6
Hop,"Animation Comedy Familycoupd'etat slacker easter easterbunny aftercreditsstinger liveactionandanimationE . B . ,   t h e   E a s t e r   B u n n y ' s   t e e n a g e   s o n ,   h e a d s   t o   H o l l y w o o d ,   d e t e r m i n e d   t o   b e c o m e   a   d r u m m e r   i n   a   r o c k   ' n '   r o l l   b a n d .   I n   L A ,   h e ' s   t a k e n   i n   b y   F r e d   a f t e r   t h e   o u t - o f - w o r k   s l a c k e r   h i t s   E . B .   w i t h   h i s   c a r . 2011",2011,5.5
300,"Action Adventure Warevisceration javelin shield army fallfromheight ancientworld s.a.t. minionsB a s e d   o n   F r a n k   M i l l e r ' s   g r a p h i c   n o v e l ,   "" 3 0 0 ""   i s   v e r y   l o o s e l y   b a s e d   t h e   4 8 0   B . C .   B a t t l e   o f   T h e r m o p y l a e ,   w h e r e   t h e   K i n g   o f   S p a r t a   l e d   h i s   a r m y   a g a i n s t   t h e   a d v a n c i n g   P e r s i a n s ;   t h e   b a t t l e   i s   s a i d   t o   h a v e   i n s p i r e d   a l l   o f   G r e e c e   t o   b a n d   t o g e t h e r   a g a i n s t   t h e   P e r s i a n s ,   a n d   h e l p e d   u s h e r   i n   t h e   w o r l d ' s   f i r s t   d e m o c r a c y . 2006",2006,7.0
Meet the Fockers,"Comedy Romancecia parentskidsrelationship florida anti-authoritarianupbringing jew parents-in-law orderly justmarried sextherapy badfather-in-law family illegitimatesonH a r d - t o - c r a c k   e x - C I A   m a n ,   J a c k   B y r n e s   a n d   h i s   w i f e ,   D i n a   h e a d   f o r   t h e   w a r m e r   c l i m e s   o f   F l o r i d a   t o   m e e t   s o n - i n - l a w - t o - b e ,   G r e g   F o c k e r ' s   p a r e n t s .   U n l i k e   t h e i r   h a p p i l y   m a t c h e d   o f f s p r i n g ,   t h e   f u t u r e   i n - l a w s   f i n d   t h e m s e l v e s   i n   a   s i t u a t i o n   o f   o p p o s i t e s   t h a t   d e f i n i t e l y   d o   n o t   a t t r a c t . 2004",2004,6.1
Marley & Me,"Comedy Familyjournalist basedonnovel puppy dog duringcreditsstinger columnist animalleadA   n e w l y   m a r r i e d   c o u p l e   w h o ,   i n   t h e   p r o c e s s   o f   s t a r t i n g   a   f a m i l y ,   l e a r n   m a n y   o f   l i f e ' s   i m p o r t a n t   l e s s o n s   f r o m   t h e i r   t r o u b l e - l o v i n g   r e t r i e v e r ,   M a r l e y .   P a c k e d   w i t h   p l e n t y   o f   l a u g h s   t o   l i g h t e n   t h e   l o a d ,   t h e   f i l m   e x p l o r e s   t h e   h i g h s   a n d   l o w s   o f   m a r r i a g e ,   m a t u r i t y   a n d   c o n f r o n t i n g   o n e ' s   o w n   m o r t a l i t y ,   a s   s e e n   t h r o u g h   t h e   l e n s   o f   f a m i l y   l i f e   w i t h   a   d o g . 2008",2008,6.9
The Green Mile,"Fantasy Drama Crimesouthernusa blackpeople mentallydisabled basedonnovel heal deathrow jailguard greatdepression prisonguard electricchair magicrealism healing deathrowinmate 1930sA   s u p e r n a t u r a l   t a l e   s e t   o n   d e a t h   r o w   i n   a   S o u t h e r n   p r i s o n ,   w h e r e   g e n t l e   g i a n t   J o h n   C o f f e y   p o s s e s s e s   t h e   m y s t e r i o u s   p o w e r   t o   h e a l   p e o p l e ' s   a i l m e n t s .   W h e n   t h e   c e l l b l o c k ' s   h e a d   g u a r d ,   P a u l   E d g e c o m b ,   r e c o g n i z e s   C o f f e y ' s   m i r a c u l o u s   g i f t ,   h e   t r i e s   d e s p e r a t e l y   t o   h e l p   s t a v e   o f f   t h e   c o n d e m n e d   m a n ' s   e x e c u t i o n . 1999",1999,8.2
Wild Hogs,"Action Adventure Comedymidlifecrisis roadtrip politicallyincorrect motorcyclegang bikerfilm awkwardness travelwriter middleage middleagedmanR e s t l e s s   a n d   r e a d y   f o r   a d v e n t u r e ,   f o u r   s u b u r b a n   b i k e r s   l e a v e   t h e   s a f e t y   o f   t h e i r   s u b d i v i s i o n   a n d   h e a d   o u t   o n   t h e   o p e n   r o a d .   B u t   c o m p l i c a t i o n s   e n s u e   w h e n   t h e y   c r o s s   p a t h s   w i t h   a n   i n t i m i d a t i n g   b a n d   o f   N e w   M e x i c o   b i k e r s   k n o w n   a s   t h e   D e l   F u e g o s . 2007",2007,5.6
Chicken Little,"Animation Family Comedyfish smalltown spacemarine chicken alien bestfriend alieninvasion animal duringcreditsstinger 3dW h e n   t h e   s k y   r e a l l y   i s   f a l l i n g   a n d   s a n i t y   h a s   f l o w n   t h e   c o o p ,   w h o   w i l l   r i s e   t o   s a v e   t h e   d a y ?   T o g e t h e r   w i t h   h i s   h y s t e r i c a l   b a n d   o f   m i s f i t   f r i e n d s ,   C h i c k e n   L i t t l e   m u s t   h a t c h   a   p l a n   t o   s a v e   t h e   p l a n e t   f r o m   a l i e n   i n v a s i o n   a n d   p r o v e   t h a t   t h e   w o r l d ' s   b i g g e s t   h e r o   i s   a   l i t t l e   c h i c k e n . 2005",2005,5.6
Gone Girl,"Mystery Thriller Dramabasedonnovel marriagecrisis disappearance cheatinghusband missingperson searchparty criminallawyer wifemurder murdersuspect missingwifeW i t h   h i s   w i f e ' s   d i s a p p e a r a n c e   h a v i n g   b e c o m e   t h e   f o c u s   o f   a n   i n t e n s e   m e d i a   c i r c u s ,   a   m a n   s e e s   t h e   s p o t l i g h t   t u r n e d   o n   h i m   w h e n   i t ' s   s u s p e c t e d   t h a t   h e   m a y   n o t   b e   i n n o c e n t . 2014",2014,7.9
The Bourne Identity,"Action Drama Mystery Thrillerparis barcelonaspain assassin basedonnovel secretidentity amnesia sniper passport missionofmurder lovers escape shootout footchase cellphone carchase multipleidentities surveillancecamera hamburggermany fishingboat langleyvirginia safedepositbox flashback handtohandcombatW o u n d e d   t o   t h e   b r i n k   o f   d e a t h   a n d   s u f f e r i n g   f r o m   a m n e s i a ,   J a s o n   B o u r n e   i s   r e s c u e d   a t   s e a   b y   a   f i s h e r m a n .   W i t h   n o t h i n g   t o   g o   o n   b u t   a   S w i s s   b a n k   a c c o u n t   n u m b e r ,   h e   s t a r t s   t o   r e c o n s t r u c t   h i s   l i f e ,   b u t   f i n d s   t h a t   m a n y   p e o p l e   h e   e n c o u n t e r s   w a n t   h i m   d e a d .   H o w e v e r ,   B o u r n e   r e a l i z e s   t h a t   h e   h a s   t h e   c o m b a t   a n d   m e n t a l   s k i l l s   o f   a   w o r l d - c l a s s   s p y   –   b u t   w h o   d o e s   h e   w o r k   f o r ? 2002",2002,7.3
GoldenEye,Adventure Action Thrillercuba falselyaccused secretidentity computervirus secretbase secretintelligenceservice kgb satellite specialcar cossack electromagneticpulse timebomb st.petersburgrussia ejectionseat redarmyJ a m e s   B o n d   m u s t   u n m a s k   t h e   m y s t e r i o u s   h e a d   o f   t h e   J a n u s   S y n d i c a t e   a n d   p r e v e n t   t h e   l e a d e r   f r o m   u t i l i z i n g   t h e   G o l d e n E y e   w e a p o n s   s y s t e m   t o   i n f l i c t   d e v a s t a t i n g   r e v e n g e   o n   B r i t a i n . 1995,1995,6.6
2 Guns,Action Comedy Crimeundercover undercoveragent basedoncomicbook money fugitive bankrobbery deaagentA   D E A   a g e n t   a n d   a n   u n d e r c o v e r   N a v a l   I n t e l l i g e n c e   o f f i c e r   w h o   h a v e   b e e n   t a s k e d   w i t h   i n v e s t i g a t i n g   o n e   a n o t h e r   f i n d   t h e y   h a v e   b e e n   s e t   u p   b y   t h e   m o b   - -   t h e   v e r y   o r g a n i z a t i o n   t h e   t w o   m e n   b e l i e v e   t h e y   h a v e   b e e n   s t e a l i n g   m o n e y   f r o m . 2013,2013,6.6
Cats & Dogs,"Comedy Familyfight governance puppy allergy 3dW h e n   a   p r o f e s s o r   d e v e l o p s   a   v a c c i n e   t h a t   e l i m i n a t e s   h u m a n   a l l e r g i e s   t o   d o g s ,   h e   u n w i t t i n g l y   u p s e t s   t h e   f r a g i l e   b a l a n c e   o f   p o w e r   b e t w e e n   c a t s   a n d   d o g s   a n d   t o u c h e s   o f f   a n   e p i c   b a t t l e   f o r   p e t   s u p r e m a c y .   T h e   f u r   f l i e s   a s   t h e   f e l i n e   f a c t i o n ,   l e d   b y   M r .   T i n k l e s ,   s q u a r e s   o f f   a g a i n s t   w i d e - e y e d   p u p p y   L o u   a n d   h i s   c a n i n e   c o h o r t s . 2001",2001,5.0
The Italian Job,"Action Crimevenice california trainstation helicopter austria mountains gold subway hacker chase safe remake caper revenge murder heist doublecrossed fastcars boatchase losangeles explosion convict fatherdaughterrelationship carchase tvnews hollywoodsign televisionrepair minicooperC h a r l i e   C r o k e r   p u l l e d   o f f   t h e   c r i m e   o f   a   l i f e t i m e .   T h e   o n e   t h i n g   t h a t   h e   d i d n ' t   p l a n   o n   w a s   b e i n g   d o u b l e - c r o s s e d .   A l o n g   w i t h   a   d r o p - d e a d   g o r g e o u s   s a f e c r a c k e r ,   C r o k e r   a n d   h i s   t e a m   t a k e   o f f   t o   r e - s t e a l   t h e   l o o t   a n d   e n d   u p   i n   a   p u l s e - p o u n d i n g ,   p e d a l - t o - t h e - m e t a l   c h a s e   t h a t   c a r e e n s   u p ,   d o w n ,   a b o v e   a n d   b e l o w   t h e   s t r e e t s   o f   L o s   A n g e l e s . 2003",2003,6.6
Couples Retreat,"Comedy Romanceisland marriedcouple yoga tahiti couplestherapy beautifulwoman tropical aftercreditsstinger duringcreditsstinger frenchpolynesia polynésiefrançaiseF o u r   c o u p l e s ,   a l l   f r i e n d s ,   d e s c e n d   o n   a   t r o p i c a l   i s l a n d   r e s o r t .   T h o u g h   o n e   h u s b a n d   a n d   w i f e   a r e   t h e r e   t o   w o r k   o n   t h e i r   m a r r i a g e ,   t h e   o t h e r s   j u s t   w a n t   t o   e n j o y   s o m e   f u n   i n   t h e   s u n .   T h e y   s o o n   f i n d ,   h o w e v e r ,   t h a t   p a r a d i s e   c o m e s   a t   a   p r i c e :   P a r t i c i p a t i o n   i n   c o u p l e s   t h e r a p y   s e s s i o n s   i s   m a n d a t o r y .   W h a t   s t a r t e d   o u t   a s   a   c u t - r a t e   v a c a t i o n   t u r n s   i n t o   a n   e x a m i n a t i o n   o f   t h e   c o m m o n   p r o b l e m s   m a n y   f a c e . 2009",2009,5.3
Maze Runner: The Scorch Trials,"Actionbasedonnovel resistance maze post-apocalyptic dystopia infection ontherun escape zombie storm disease desert sewer antidote corporation virus runner cityruin immunityT h o m a s   a n d   h i s   f e l l o w   G l a d e r s   f a c e   t h e i r   g r e a t e s t   c h a l l e n g e   y e t :   s e a r c h i n g   f o r   c l u e s   a b o u t   t h e   m y s t e r i o u s   a n d   p o w e r f u l   o r g a n i z a t i o n   k n o w n   a s   W C K D .   T h e i r   j o u r n e y   t a k e s   t h e m   t o   t h e   S c o r c h ,   a   d e s o l a t e   l a n d s c a p e   f i l l e d   w i t h   u n i m a g i n a b l e   o b s t a c l e s .   T e a m i n g   u p   w i t h   r e s i s t a n c e   f i g h t e r s ,   t h e   G l a d e r s   t a k e   o n   W C K D ’ s   v a s t l y   s u p e r i o r   f o r c e s   a n d   u n c o v e r   i t s   s h o c k i n g   p l a n s   f o r   t h e m   a l l . 2015",2015,6.4
Eat Pray Love,"Dramaindonesia femaleprotagonist india divorce baliL i z   G i l b e r t   h a d   e v e r y t h i n g   a   m o d e r n   w o m a n   i s   s u p p o s e d   t o   d r e a m   o f   h a v i n g   –   a   h u s b a n d ,   a   h o u s e   a n d   a   s u c c e s s f u l   c a r e e r   –   y e t   l i k e   s o   m a n y   o t h e r s ,   s h e   f o u n d   h e r s e l f   l o s t ,   c o n f u s e d   a n d   s e a r c h i n g   f o r   w h a t   s h e   r e a l l y   w a n t e d   i n   l i f e .   N e w l y   d i v o r c e d   a n d   a t   a   c r o s s r o a d s ,   G i l b e r t   s t e p s   o u t   o f   h e r   c o m f o r t   z o n e ,   r i s k i n g   e v e r y t h i n g   t o   c h a n g e   h e r   l i f e ,   e m b a r k i n g   o n   a   j o u r n e y   a r o u n d   t h e   w o r l d   t h a t   b e c o m e s   a   q u e s t   f o r   s e l f - d i s c o v e r y .   I n   h e r   t r a v e l s ,   s h e   d i s c o v e r s   t h e   t r u e   p l e a s u r e   o f   n o u r i s h m e n t   b y   e a t i n g   i n   I t a l y ,   t h e   p o w e r   o f   p r a y e r   i n   I n d i a   a n d ,   f i n a l l y   a n d   u n e x p e c t e d l y ,   t h e   i n n e r   p e a c e   a n d   b a l a n c e   o f   t r u e   l o v e   i n   B a l i . 2010",2010,5.8
The Scorpion King,"Action Fantasy Adventureegypt templeI n   a n c i e n t   E g y p t ,   p e a s a n t   M a t h a y u s   i s   h i r e d   t o   e x a c t   r e v e n g e   o n   t h e   p o w e r f u l   M e m n o n   a n d   t h e   s o r c e r e s s   C a s s a n d r a ,   w h o   a r e   r e a d y   t o   o v e r t a k e   B a l t h a z a r ' s   v i l l a g e .   A m i d   b e t r a y a l s ,   t h i e v e s ,   a b d u c t i o n s   a n d   m o r e ,   M a t h a y u s   s t r i v e s   t o   b r i n g   j u s t i c e   t o   h i s   c o m p l i c a t e d   w o r l d . 2002",2002,5.3
Jack Reacher,"Crime Drama Thrillerbasedonnovel sniper investigation police quarryI n   a n   i n n o c e n t   h e a r t l a n d   c i t y ,   f i v e   a r e   s h o t   d e a d   b y   a n   e x p e r t   s n i p e r .   T h e   p o l i c e   q u i c k l y   i d e n t i f y   a n d   a r r e s t   t h e   c u l p r i t ,   a n d   b u i l d   a   s l a m - d u n k   c a s e .   B u t   t h e   a c c u s e d   m a n   c l a i m s   h e ' s   i n n o c e n t   a n d   s a y s   "" G e t   J a c k   R e a c h e r . ""   R e a c h e r   h i m s e l f   s e e s   t h e   n e w s   r e p o r t   a n d   t u r n s   u p   i n   t h e   c i t y .   T h e   d e f e n s e   i s   i m m e n s e l y   r e l i e v e d ,   b u t   R e a c h e r   h a s   c o m e   t o   b u r y   t h e   g u y .   S h o c k e d   a t   t h e   a c c u s e d ' s   r e q u e s t ,   R e a c h e r   s e t s   o u t   t o   c o n f i r m   f o r   h i m s e l f   t h e   a b s o l u t e   c e r t a i n t y   o f   t h e   m a n ' s   g u i l t ,   b u t   c o m e s   u p   w i t h   m o r e   t h a n   h e   b a r g a i n e d   f o r . 2012",2012,6.3
This Is It,"Music Documentarypopstar music concert aftercreditsstinger duringcreditsstingerA   c o m p i l a t i o n   o f   i n t e r v i e w s ,   r e h e a r s a l s   a n d   b a c k s t a g e   f o o t a g e   o f   M i c h a e l   J a c k s o n   a s   h e   p r e p a r e d   f o r   h i s   s e r i e s   o f   s o l d - o u t   s h o w s   i n   L o n d o n . 2009",2009,6.7
Contagion,"Drama Thriller ScienceFictionsavingtheworld mutation infection terminalillness quarantine outbreak medical vaccine lethalvirus scientist epidemicA s   a n   e p i d e m i c   o f   a   l e t h a l   a i r b o r n e   v i r u s   -   t h a t   k i l l s   w i t h i n   d a y s   -   r a p i d l y   g r o w s ,   t h e   w o r l d w i d e   m e d i c a l   c o m m u n i t y   r a c e s   t o   f i n d   a   c u r e   a n d   c o n t r o l   t h e   p a n i c   t h a t   s p r e a d s   f a s t e r   t h a n   t h e   v i r u s   i t s e l f . 2011",2011,6.2
Coraline,"Animation Familydream eye stuffedanimal parallelworld button newhome secretdoor aftercreditsstinger duringcreditsstingerW h e n   C o r a l i n e   m o v e s   t o   a n   o l d   h o u s e ,   s h e   f e e l s   b o r e d   a n d   n e g l e c t e d   b y   h e r   p a r e n t s .   S h e   f i n d s   a   h i d d e n   d o o r   w i t h   a   b r i c k e d   u p   p a s s a g e .   D u r i n g   t h e   n i g h t ,   s h e   c r o s s e s   t h e   p a s s a g e   a n d   f i n d s   a   p a r a l l e l   w o r l d   w h e r e   e v e r y b o d y   h a s   b u t t o n s   i n s t e a d   o f   e y e s ,   w i t h   c a r i n g   p a r e n t s   a n d   a l l   h e r   d r e a m s   c o m i n g   t r u e .   W h e n   t h e   O t h e r   M o t h e r   i n v i t e s   C o r a l i n e   t o   s t a y   i n   h e r   w o r l d   f o r e v e r ,   t h e   g i r l   r e f u s e s   a n d   f i n d s   t h a t   t h e   a l t e r n a t e   r e a l i t y   w h e r e   s h e   i s   t r a p p e d   i s   o n l y   a   t r i c k   t o   l u r e   h e r . 2009",2009,7.3
